audio_file_path,subject,sex,treatment,issueTime
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box04/mic/20241009_143225.WAV,004_028,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box04/mic/20241009_150230.WAV,004_028,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box04/mic/20241009_153133.WAV,004_028,F,Control_EtOH,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box03/mic/20241009_142332.WAV,042_011,M,EtOH_Control,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box03/mic/20241009_143225.WAV,042_011,M,EtOH_Control,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box03/mic/20241009_150230.WAV,042_011,M,EtOH_Control,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_14-28-04_Wistar_Urgency_group1/pi-data_2024-10-09_14-28-04_Wistar_Urgency_group1/box03/mic/20241009_153235.WAV,042_011,M,EtOH_Control,142900
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box01/mic/20241009_153238.WAV,010,F,Control,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box01/mic/20241009_160240.WAV,010,F,Control,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box01/mic/20241009_163245.WAV,010,F,Control,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box01/mic/20241009_164651.WAV,010,F,Control,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box05/mic/20241009_153235.WAV,015_056,M,Control_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box05/mic/20241009_160240.WAV,015_056,M,Control_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box05/mic/20241009_163245.WAV,015_056,M,Control_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box05/mic/20241009_164549.WAV,015_056,M,Control_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_153235.WAV,019_049,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_160240.WAV,019_049,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_163245.WAV,019_049,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_164624.WAV,019_049,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_153235.WAV,020_055,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_160240.WAV,020_055,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_163245.WAV,020_055,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box06/mic/20241009_164624.WAV,020_055,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box02/mic/20241009_153247.WAV,039_048,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box02/mic/20241009_160240.WAV,039_048,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box02/mic/20241009_163245.WAV,039_048,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box02/mic/20241009_164717.WAV,039_048,F,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box04/mic/20241009_153235.WAV,045_052,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box04/mic/20241009_160240.WAV,045_052,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box04/mic/20241009_163245.WAV,045_052,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_15-32-47_Wistar_Urgency_group2/pi-data_2024-10-09_15-32-47_Wistar_Urgency_group2/box04/mic/20241009_164514.WAV,045_052,M,EtOH_EtOH,154400
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box06/mic/20241009_164624.WAV,016_002,F,Control_Control,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box06/mic/20241009_170250.WAV,016_002,F,Control_Control,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box06/mic/20241009_173255.WAV,016_002,F,Control_Control,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box06/mic/20241009_180204.WAV,016_002,F,Control_Control,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box05/mic/20241009_164549.WAV,018_050,F,EtOH_EtOH,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box05/mic/20241009_170250.WAV,018_050,F,EtOH_EtOH,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box05/mic/20241009_173255.WAV,018_050,F,EtOH_EtOH,170000
/datastar/annaRemes/scentEtOH_urgency/wistar/RAP/2024-10-09_16-47-17_Wistar_Urgency_group3/pi-data_2024-10-09_16-47-17_Wistar_Urgency_group3/box05/mic/20241009_180129.WAV,018_050,F,EtOH_EtOH,170000
