audio_file_path,subject,sex,treatment,issueTime
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box01\mic\20250825_124500.WAV,071_097,M,Control_EtOH,114059
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_113943.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_114000.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_114500.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_115000.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_115500.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_120000.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_120500.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_121000.WAV,074_088,F,Control_EtOH,114200
E:\072125_Prat_urgency\RAP\descriptiveData\day6\2025-08-25_11-35-50_Prat_Urgency_group2\pi-data_2025-08-25_11-35-50_Prat_Urgency_group2\box03\mic\20250825_121500.WAV,074_088,F,Control_EtOH,114200
