audio_file_path,subject,issueTime,sex,treatment,strain
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box02,011,131314,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box10,002,131522,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box12,020,131619,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box13,023,131653,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box14,025,131738,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box15,027,131802,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/box01,003,131241,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box04,031,131354,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box16,041,131824,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/box05,042,131426,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_13-10-52_Wistar_Urgency_group2/pi-data_2024-09-25_13-10-52_Wistar_Urgency_group2/Box08,056,131455,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box09,001,144224,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box10,013,144242,M,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box02,014,144027,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box11,026,144301,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box03,030,144050,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box12,033,144323,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box13,036,144340,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box04,037,144114,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box14,040,144354,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/box05,043,144134,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box15,045,144408,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box06,055,144156,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/Box16,057,144424,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_14-38-49_Wistar_Urgency_group3/pi-data_2024-09-25_14-38-49_Wistar_Urgency_group3/box01,008,143958,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box10,012,160333,F,Control,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box11,018,160325,F,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box03,024,160328,M,EtOH,Wistar
/datastar/behavior_rooms/DD/2024-09-25_16-03-43_Wistar_Urgency_group4/pi-data_2024-09-25_16-03-43_Wistar_Urgency_group4/Box12,028,160348,F,EtOH,Wistar
