audio_file_path,subject,sex,treatment,issueTime,scentDays
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box09/mic/20251103_103500.WAV,87,M,EtOH,101014,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_100519.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_101000.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_101500.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_102000.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_102500.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_103000.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/box05/mic/20251103_103500.WAV,94,F,EtOH,100852,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_100520.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_101000.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_101500.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_102000.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_102500.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_103000.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-03-08_Prat_Urgency_group1/pi-data_2025-11-03_10-03-08_Prat_Urgency_group1/Box10/mic/20251103_103500.WAV,95,M,EtOH,101034,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_105836.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_110000.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_110500.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_111000.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_111500.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_112000.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_112500.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_113000.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_113500.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box06/mic/20251103_114000.WAV,71,M,Control,110227,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_105836.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_110000.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_110500.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_111000.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_111500.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_112000.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_112500.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_113000.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_113500.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/Box10/mic/20251103_114000.WAV,74,F,Control,110347,no
/datastar/behavior_rooms/DD/2025-11-03_10-48-46_Prat_Urgency_group2/pi-data_2025-11-03_10-48-46_Prat_Urgency_group2/box05/mic/20251103_105836.WAV,75,M,Control,110207,no
