data_path,subject,sex,treatment,scentDays,issueTime
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box16/mic/20241014_105500.WAV,058,M,EtOH,no,104411
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box16/mic/20241014_110000.WAV,058,M,EtOH,no,104411
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box16/mic/20241014_110500.WAV,058,M,EtOH,no,104411
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box16/mic/20241014_111000.WAV,058,M,EtOH,no,104411
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box16/mic/20241014_111500.WAV,058,M,EtOH,no,104411
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_103924.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_104000.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_104500.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_105000.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_105500.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_110000.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_110500.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_111000.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box09/mic/20241014_111500.WAV,006,F,Control,no,104152
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_103923.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_104000.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_104500.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_105000.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_105500.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_110000.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_110500.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_111000.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_10-39-25_Wistar_Urgency_group1/pi-data_2024-10-14_10-39-25_Wistar_Urgency_group1/Box02/mic/20241014_111500.WAV,009,M,Control,no,103944
/datastar/behavior_rooms/DD/2024-10-14_11-52-08_Wistar_Urgency_group2/pi-data_2024-10-14_11-52-08_Wistar_Urgency_group2/Box10/mic/20241014_115205.WAV,015,M,Control,no,115322
/datastar/behavior_rooms/DD/2024-10-14_11-52-08_Wistar_Urgency_group2/pi-data_2024-10-14_11-52-08_Wistar_Urgency_group2/Box10/mic/20241014_115500.WAV,015,M,Control,no,115322
/datastar/behavior_rooms/DD/2024-10-14_11-52-08_Wistar_Urgency_group2/pi-data_2024-10-14_11-52-08_Wistar_Urgency_group2/Box10/mic/20241014_120000.WAV,015,M,Control,no,115322
/datastar/behavior_rooms/DD/2024-10-14_11-52-08_Wistar_Urgency_group2/pi-data_2024-10-14_11-52-08_Wistar_Urgency_group2/Box10/mic/20241014_120500.WAV,015,M,Control,no,115322
